Record_ID,Year,District,Crop,Season,Soil_Type,Irrigation_Type,Land_Area_Acres,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Seed_Cost_INR,Fertilizer_Cost_INR,Pesticide_Cost_INR,Labour_Cost_INR,Irrigation_Cost_INR,Other_Cost_INR,Expected_Yield_kg,Market_Price_INR_per_kg,Total_Cost_INR,Expected_Revenue_INR,Profit_INR
1,2024,Pune,Rice,Kharif,Alluvial,Drip,4.81,597.7,25.6,64.5,7.31,17119.75,35070.8,15278.64,34955.6,24092.89,13809.63,13470.22,26.94,140327.31,362937.57,222610.26
2,2024,Ahmednagar,Soybean,Kharif,Black,Rainfed,2.1,510.1,22.2,75.2,6.56,6587.25,8908.09,4412.06,10043.19,4504.69,3673.33,2135.04,46.47,38128.62,99211.92,61083.31
3,2019,Pune,Tomato,Rabi,Black,Drip,8.37,607.6,24.7,57.2,6.7,35975.23,51875.61,32764.31,97188.4,43095.53,22142.64,83073.21,26.81,283041.73,2226929.0,1943887.27
4,2023,Pune,Soybean,Kharif,Red,Borewell,11.1,707.3,24.4,48.7,6.27,39000.56,48286.98,19126.05,57781.63,21580.64,18583.04,12287.03,50.9,204358.9,625400.66,421041.77
5,2023,Aurangabad,Soybean,Kharif,Alluvial,Rainfed,0.56,744.0,27.8,70.0,7.15,1781.03,2127.74,1222.18,2801.04,1086.48,1084.75,596.68,41.64,10103.21,24848.42,14745.21
6,2021,Sangli,Maize,Kharif,Alluvial,Drip,7.83,612.1,29.0,65.3,6.31,22373.52,42566.48,18245.7,40476.01,23649.28,14610.03,25366.87,20.62,161921.02,522968.87,361047.85
7,2019,Solapur,Soybean,Kharif,Black,Borewell,4.12,659.4,27.0,57.2,5.8,12050.77,14611.73,6764.82,18426.69,7652.96,6307.12,5026.6,44.29,65814.08,222626.63,156812.56
8,2025,Solapur,Rice,Kharif,Alluvial,Canal,2.65,570.7,28.9,55.7,6.5,9209.92,21298.62,9620.2,25251.58,12548.89,6565.74,7385.37,32.52,84494.94,240163.89,155668.95
9,2023,Aurangabad,Wheat,Rabi,Black,Borewell,1.88,729.8,25.7,63.9,5.49,6253.71,11520.7,4227.08,13182.36,4901.38,4025.81,4907.97,27.09,44111.05,132936.86,88825.81
10,2025,Kolhapur,Rice,Kharif,Alluvial,Drip,6.28,1428.8,25.6,61.7,6.0,25006.28,52186.81,20707.03,66529.88,26908.38,18370.09,20771.79,44.2,209708.46,918024.09,708315.62
11,2024,Pune,Rice,Kharif,Red,Canal,1.54,665.7,26.8,77.4,7.22,5535.37,12227.73,4765.44,14755.83,6644.13,4356.34,4065.14,32.9,48284.84,133730.98,85446.13
12,2025,Satara,Rice,Kharif,Black,Borewell,2.08,843.8,23.4,69.3,5.96,8546.33,14535.01,7505.73,20223.9,10665.92,5236.43,6138.92,28.49,66713.33,174927.98,108214.65
13,2024,Aurangabad,Cotton,Kharif,Alluvial,Drip,8.85,747.9,28.4,64.0,7.21,42208.81,65170.49,41966.8,103304.54,42056.34,26493.36,6884.86,64.49,321200.33,444005.91,122805.57
14,2020,Solapur,Onion,Rabi,Alluvial,Rainfed,9.08,666.0,27.8,69.4,7.84,45297.43,57835.59,29268.78,80155.62,43864.04,24246.58,64048.92,25.25,280668.04,1617348.63,1336680.59
15,2020,Satara,Maize,Kharif,Loamy,Borewell,9.64,1230.8,24.2,49.3,6.68,25594.64,50517.01,18930.03,59842.57,27743.15,16505.57,32501.15,23.01,199132.98,747891.93,548758.95
16,2024,Satara,Cotton,Kharif,Alluvial,Rainfed,4.93,880.9,25.7,63.9,5.95,25951.26,31727.37,21397.32,54606.36,23045.55,16151.49,3203.02,81.11,172879.35,259801.69,86922.34
17,2025,Pune,Soybean,Kharif,Alluvial,Borewell,8.52,614.5,27.8,70.1,6.34,30764.68,39018.7,19677.77,51877.87,18405.43,17958.68,10044.02,55.8,177703.13,560483.05,382779.92
18,2020,Nashik,Cotton,Kharif,Alluvial,Drip,9.65,655.3,25.5,55.0,6.56,42561.91,65621.71,30022.48,95740.95,36889.47,25229.16,7100.83,78.08,296065.69,554453.92,258388.24
19,2024,Sangli,Sugarcane,Annual,Loamy,Drip,1.96,791.6,27.3,66.9,5.94,16532.69,22356.3,8192.61,28846.9,16158.44,9108.06,94166.64,3.09,101194.99,290545.57,189350.58
20,2020,Ahmednagar,Cotton,Kharif,Alluvial,Borewell,3.61,522.8,24.8,66.5,7.22,15526.29,20423.37,12513.47,38747.31,16357.62,8818.99,2420.51,76.56,112387.06,185317.97,72930.9
21,2020,Solapur,Tomato,Rabi,Red,Borewell,11.48,601.5,30.3,50.1,7.81,46516.34,80221.28,49655.58,113790.44,52177.36,27959.9,99232.56,24.36,370320.9,2417549.68,2047228.78
22,2025,Pune,Rice,Kharif,Black,Drip,5.49,899.6,22.1,58.0,6.78,19114.87,46747.97,19538.42,48186.23,27474.2,15583.33,19829.42,31.72,176645.03,628906.54,452261.51
23,2023,Sangli,Maize,Kharif,Black,Borewell,0.8,691.2,27.3,44.9,7.47,2552.6,4946.93,1803.78,5863.07,2433.1,1542.35,2540.41,23.16,19141.84,58832.22,39690.38
24,2023,Aurangabad,Tomato,Rabi,Alluvial,Rainfed,4.17,615.2,27.7,65.2,6.28,21047.57,35363.97,18606.43,43645.54,22090.4,13558.4,37373.17,28.76,154312.32,1075025.34,920713.03
25,2025,Kolhapur,Rice,Kharif,Alluvial,Rainfed,11.89,1253.4,22.6,56.0,7.4,44106.27,90948.57,43165.77,113362.3,61654.58,31830.21,30839.38,38.64,385067.7,1191774.51,806706.81
26,2020,Sangli,Cotton,Kharif,Loamy,Rainfed,10.8,655.7,26.7,62.9,7.06,53352.1,58750.87,35664.07,110984.72,50403.26,30808.71,6576.31,73.99,339963.72,486563.18,146599.46
27,2023,Ahmednagar,Cotton,Kharif,Black,Canal,1.55,533.1,25.0,43.2,7.76,8052.28,10682.5,7096.9,15890.39,7807.06,4968.1,1107.66,82.17,54497.24,91017.88,36520.64
28,2021,Ahmednagar,Soybean,Kharif,Red,Rainfed,1.44,450.7,22.2,55.5,6.57,4783.92,5989.8,2634.18,6739.01,2454.31,2350.91,1322.9,43.17,24952.14,57105.39,32153.25
29,2019,Aurangabad,Onion,Rabi,Black,Canal,1.15,819.8,27.5,66.4,6.75,5458.77,7295.42,3933.95,9829.47,5582.17,2983.93,8633.58,22.36,35083.72,193019.64,157935.93
30,2019,Satara,Cotton,Kharif,Red,Rainfed,6.52,1089.6,25.9,81.4,6.24,27685.24,42108.79,21344.37,54738.01,26070.9,14071.66,4485.43,62.05,186018.96,278312.18,92293.22
31,2025,Aurangabad,Rice,Kharif,Black,Drip,7.21,469.6,26.7,67.1,7.28,29903.94,59554.31,25367.4,68270.83,34009.86,20620.93,21112.19,29.49,237727.26,622654.73,384927.47
32,2023,Aurangabad,Maize,Kharif,Red,Canal,4.88,667.4,28.5,47.7,6.34,13859.12,27884.92,11486.13,31599.46,14801.31,9883.49,13772.87,24.06,109514.42,331348.68,221834.26
33,2023,Satara,Tomato,Rabi,Red,Canal,3.13,1046.6,27.1,54.5,6.52,17417.87,25317.05,14946.32,35564.41,18960.51,10391.49,30666.41,27.23,122597.65,834905.71,712308.06
34,2022,Solapur,Tomato,Rabi,Loamy,Rainfed,5.14,631.0,29.7,53.3,7.11,21916.78,36384.69,17575.8,54227.56,28993.29,16991.18,47277.19,26.25,176089.3,1241047.09,1064957.79
35,2019,Satara,Soybean,Kharif,Alluvial,Rainfed,5.06,1038.0,24.7,61.9,7.18,12752.88,18208.1,8879.41,23712.18,7610.23,7515.37,5639.61,42.13,78678.16,237616.18,158938.03
36,2019,Satara,Soybean,Kharif,Black,Rainfed,1.98,970.3,22.1,57.4,6.06,5861.72,6636.16,3501.73,8152.83,3152.5,2944.57,2126.43,36.82,30249.51,78302.69,48053.18
37,2019,Nashik,Soybean,Kharif,Alluvial,Rainfed,2.87,696.3,19.4,61.1,6.73,8616.83,10947.73,4636.86,11613.95,5105.19,4116.52,3019.63,35.76,45037.08,107972.8,62935.71
38,2024,Kolhapur,Soybean,Kharif,Loamy,Drip,6.07,1283.3,27.7,76.8,6.55,21208.92,32537.93,13772.96,31646.52,11674.47,9720.21,7075.2,49.58,120561.02,350770.92,230209.9
39,2020,Aurangabad,Maize,Kharif,Loamy,Borewell,3.6,659.4,25.9,52.4,6.31,8838.77,19097.33,7668.48,24477.67,10292.67,5948.25,10715.96,20.89,76323.17,223867.66,147544.49
40,2019,Nashik,Soybean,Kharif,Loamy,Canal,6.68,857.5,25.1,52.7,6.59,17152.17,25607.09,13090.67,25510.2,11867.45,9498.44,8145.06,39.86,102726.02,324625.15,221899.13
41,2022,Sangli,Tomato,Rabi,Black,Rainfed,2.65,528.9,25.9,39.5,7.11,12568.19,20792.47,11064.88,26918.64,13534.12,8150.67,23418.69,26.7,93028.98,625310.92,532281.94
42,2024,Sangli,Wheat,Rabi,Alluvial,Rainfed,6.9,436.4,28.1,56.0,7.04,19596.6,38945.52,18667.03,56082.81,18818.4,15991.77,13616.81,23.05,168102.14,313862.94,145760.8
43,2020,Satara,Soybean,Kharif,Loamy,Drip,2.28,1236.2,20.8,60.7,6.46,6975.59,9241.62,4300.46,9652.32,4839.07,3067.77,2957.8,37.83,38076.82,111904.24,73827.42
44,2021,Ahmednagar,Tomato,Rabi,Loamy,Drip,11.19,650.8,23.8,62.8,6.61,52009.83,84900.34,42462.73,111352.44,55342.61,32713.18,125904.19,23.96,378781.13,3016997.6,2638216.46
45,2025,Aurangabad,Rice,Kharif,Black,Rainfed,8.15,437.1,26.7,59.6,7.27,33475.48,61134.57,23810.35,84159.46,36677.64,19892.37,18647.45,34.47,259149.88,642811.01,383661.14
46,2025,Nashik,Wheat,Rabi,Red,Drip,10.85,781.2,19.6,64.1,7.16,38285.32,73351.21,29307.75,94100.85,39078.29,25163.97,24251.61,31.07,299287.38,753528.78,454241.4
47,2022,Aurangabad,Tomato,Rabi,Red,Borewell,2.24,559.9,24.4,75.6,6.94,11209.3,18845.79,8827.07,23326.95,11420.98,7119.94,19629.56,29.29,80750.04,574962.1,494212.06
48,2022,Ahmednagar,Wheat,Rabi,Black,Borewell,7.87,655.5,28.8,55.0,5.95,25309.05,48576.35,19564.0,59361.34,19507.63,19224.31,18473.95,28.47,191542.7,525960.17,334417.47
